epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
35,4,2.38701219134368e-17,3.4051376551614802e-09,3.501589236925859e-09,1.1845791946154253e-10,0.0,91.25696873664856,494.5234375,1.8374312904523293e-09,1.9332686673264615e-10,3.3492847723184577e-10,1.899298628094126e-09,1.1187071271032849e-10,2.4209423443394163e-10,7.087261888472085e-10,1.8641408347457734e-10,2.4823198480532426e-10,0.0,0.0,0.0
36,4,9.93942330375427e-18,2.199504672434089e-09,2.2576684070560455e-09,6.734881940984103e-11,0.0,93.60557413101196,499.51953125,1.5421762339373757e-09,1.943986378226923e-10,3.528430121429006e-10,1.139044813330825e-09,6.31372486631609e-11,1.4379551550986073e-10,3.076547350211456e-10,7.843071434358082e-11,1.0650701660293837e-10,0.0,0.0,0.0
37,4,4.073244147055192e-18,1.411306988564877e-09,1.4421862945418177e-09,3.9438850374620913e-11,0.0,95.99420261383057,499.51953125,1.0272266509625538e-09,1.178366480950038e-10,2.1927934540483185e-10,9.644749963955146e-10,4.4692249720254576e-11,1.0840136978533494e-10,2.9817304181278814e-10,6.905881980331974e-11,8.752909795011909e-11,0.0,0.0,0.0
38,4,1.711840762075007e-18,9.094322211234374e-10,9.401906565110277e-10,2.8553925594582912e-11,0.0,98.34831142425537,499.51953125,3.908485757264657e-10,4.406727854104322e-11,7.504585880779626e-11,4.155679723949479e-10,2.470090564445708e-11,5.3431936690765834e-11,1.3494666495361685e-10,3.8137028298249134e-11,5.036010319747904e-11,0.0,0.0,0.0
39,4,7.210749557319989e-19,5.929860598952239e-10,6.076720473525999e-10,1.3310573550241565e-11,0.0,100.7621078491211,470.7734375,3.517704877387118e-10,4.680349500402454e-11,8.537692663575012e-11,2.621267855551501e-10,1.4562001530186904e-11,3.39608386143418e-11,6.577549616082479e-11,1.4708019684034168e-11,1.9820574905596903e-11,0.0,0.0,0.0
40,5,3.0080049396875934e-19,3.8508229940033276e-10,3.9043966729292936e-10,8.305592182284727e-12,0.0,103.4305055141449,472.05859375,2.489367184610458e-10,2.758936272897743e-11,5.2576405758551906e-11,2.369198429021807e-10,1.0601260989506865e-11,2.6666996496414584e-11,7.105965815767945e-11,1.5288825964775907e-11,1.96815054282599e-11,0.0,0.0,0.0
41,5,1.2757154904438918e-19,2.500256746611056e-10,2.549938434937134e-10,6.070488856077432e-12,0.0,105.81737160682678,494.5234375,9.203604545149346e-11,1.0495084708929077e-11,1.8060660398110513e-11,9.852585414193982e-11,5.755200983432038e-12,1.2978579028811154e-11,3.021755068388643e-11,8.112838957774876e-12,1.0502557306075597e-11,0.0,0.0,0.0
42,5,5.409477565859132e-20,1.6374977809891844e-10,1.6513746757103313e-10,3.2253116705622393e-12,0.0,108.24069499969482,499.51953125,8.72356492598314e-11,1.1438563717458367e-11,2.0918447454548108e-11,6.685496600766783e-11,3.372260958416113e-12,8.329292880044075e-12,1.4996948127787846e-11,3.272900724039979e-12,4.251584022885484e-12,0.0,0.0,0.0
43,5,2.2710949144419706e-20,1.0652898106833205e-10,1.065753884422766e-10,2.0522951397183107e-12,0.0,110.67422842979431,499.51953125,5.879445541534523e-11,6.331129584702699e-12,1.2077770503048232e-11,5.702853467237645e-11,2.4367378909433856e-12,6.2183781366872055e-12,1.719180353632055e-11,3.4151120205330647e-12,4.5028382030582176e-12,0.0,0.0,0.0
44,5,9.68799061323369e-21,6.953516142668848e-11,6.964580892932317e-11,1.52093299598432e-12,0.0,113.02656412124634,499.51953125,1.965400064918299e-11,2.4767568604416e-12,4.214613134920547e-12,2.1476324191249674e-11,1.3034353346475176e-12,2.927670127052694e-12,7.1432304515894884e-12,1.693763944242892e-12,2.1964422243309385e-12,0.0,0.0,0.0
45,5,4.130030239681715e-21,4.568782362754265e-11,4.5190379950353015e-11,6.946738824821536e-13,0.0,115.36157131195068,470.7734375,2.0434570702221322e-11,2.7674695136909416e-12,5.0729269778656935e-12,1.5680732753931004e-11,7.925232435486157e-13,1.9881697706346067e-12,3.176181539998879e-12,6.668956619544154e-13,8.635152416608528e-13,0.0,0.0,0.0
46,5,1.7513208308749264e-21,2.9900824648060505e-11,2.927535467465083e-11,4.638156037302693e-13,0.0,117.70630431175232,472.05859375,1.394138970933767e-11,1.474549043025278e-12,2.8752287310984397e-12,1.3832653121895189e-11,5.835790621741942e-13,1.511817741210926e-12,4.064970582362548e-12,7.729923777539802e-13,1.0426555974196614e-12,0.0,0.0,0.0
47,5,7.509984766159072e-22,1.9603245410150222e-11,1.9146789154204798e-11,3.342320896576952e-13,0.0,120.05547904968262,494.5234375,4.691219634977983e-12,6.074148356236275e-13,1.0438498147931199e-12,5.016351917186412e-12,3.096997103399908e-13,7.133041395774161e-13,1.617150857669003e-12,3.6333420162639433e-13,4.713532667444002e-13,0.0,0.0,0.0
48,5,3.215319842923428e-22,1.2907736765589278e-11,1.2445664336684104e-11,1.665986230049098e-13,0.0,122.40665912628174,499.51953125,5.109926370927553e-12,6.776548158028353e-13,1.2474037224683823e-12,3.966792470671762e-12,1.895181289598025e-13,4.941887681572024e-13,7.242539901142209e-13,1.5856114487402222e-13,2.0596414015289838e-13,0.0,0.0,0.0
49,5,1.370303715446983e-22,8.463748664695689e-12,8.085915275102896e-12,1.153440480384961e-13,0.0,124.76430606842041,499.51953125,3.3358454887277844e-12,3.3980079536860407e-13,6.650987296965601e-13,3.335099882893766e-12,1.3770660497200528e-13,3.5853742919739017e-13,9.938716516444401e-13,1.7859930907810176e-13,2.4622915122428276e-13,0.0,0.0,0.0
50,6,5.894024575790274e-23,5.563258448227197e-12,5.2899179843098505e-12,8.466944789403777e-14,0.0,127.11622285842896,499.51953125,1.035171948160496e-12,1.4805268883473652e-13,2.52466877491648e-13,1.0936666069299994e-12,7.160462583386822e-14,1.6424157000418815e-13,3.836930773104541e-13,7.727845324694433e-14,1.0155851978103137e-13,0.0,0.0,0.0
51,6,2.531576868320992e-23,3.668366733785973e-12,3.4434423708162455e-12,3.9482002605549035e-14,0.0,129.51645827293396,470.7734375,1.2085055178800985e-12,1.6465076127144052e-13,3.035772562366593e-13,9.572801535837061e-13,4.5303699917816606e-14,1.1916375967377645e-13,2.0272672429655358e-13,3.516241063458951e-14,4.732375609969728e-14,0.0,0.0,0.0
52,6,1.0851059069346624e-23,2.413021825325739e-12,2.2422181826292615e-12,2.902346180238771e-14,0.0,132.14194083213806,472.05859375,7.81763542789804e-13,7.89986948159873e-14,1.5742872771605576e-13,8.031313515708544e-13,3.310400878477949e-14,8.644071852310392e-14,2.3669954885008337e-13,4.121505213911094e-14,5.81430047934699e-14,0.0,0.0,0.0
53,6,4.681026464041951e-24,1.589586879395308e-12,1.4675756077781136e-12,2.1490750357734662e-14,0.0,134.6399166584015,494.5234375,2.412514632510465e-13,3.632752358661327e-14,6.240073290150326e-14,2.560860052659708e-13,1.7188258580941176e-14,3.98102443017831e-14,8.787415239908114e-14,1.664928673874993e-14,2.234570765744699e-14,0.0,0.0,0.0
