epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
20,3,1.3234099771088622e-13,2.104836078686676e-07,2.967051454278452e-07,1.924891195984194e-09,0.0,46.46102976799011,502.30859375,8.534614792665707e-09,1.1098972579963238e-10,4.694857866473352e-10,1.7986091906205953e-08,1.2176558020941844e-10,7.461589658112555e-10,9.887678398268207e-09,1.254696216241416e-10,4.738112121635927e-10,0.0,0.0,0.0
21,3,4.454514751758864e-14,1.22800498009829e-07,1.71651019585666e-07,1.0548371096697914e-09,0.0,48.36462736129761,502.30859375,4.861440361381142e-09,6.20699535341213e-11,2.7272523927369436e-10,1.006698983722909e-08,6.967300123446359e-11,4.285236888404304e-10,5.871187480632756e-09,6.527381319369257e-11,2.701252226962912e-10,0.0,0.0,0.0
22,3,1.5102669995533756e-14,7.195201913950904e-08,9.962549635704305e-08,5.808725284290741e-10,0.0,50.30916452407837,502.30859375,2.891718642317187e-09,3.5870951971231287e-11,1.592021595080405e-10,5.937248333601208e-09,4.059785885692666e-11,2.4693905780995147e-10,3.2579395847776027e-09,3.6750408013867365e-11,1.5495287501707717e-10,0.0,0.0,0.0
23,3,5.15213549572863e-15,4.230536984704197e-08,5.7985240564277305e-08,3.210210842176644e-10,0.0,52.212249994277954,502.30859375,1.6540657732377895e-09,2.1181923606728184e-11,9.328956753799168e-11,3.1959390654756614e-09,2.375055665280396e-11,1.4273624305457024e-10,1.8010946623014945e-09,2.1397704970030275e-11,8.921129163361065e-11,0.0,0.0,0.0
24,3,1.7670737464898053e-15,2.4946242402845778e-08,3.3833815352269516e-08,1.7797521399458014e-10,0.0,54.145880699157715,502.30859375,9.738543305104486e-10,1.2584116376880935e-11,5.483705159383965e-11,1.8703758125626635e-09,1.399333977298687e-11,8.273791583296433e-11,1.0492650637239365e-09,1.2550765148355958e-11,5.151860318996098e-11,0.0,0.0,0.0
25,3,6.089534935726888e-16,1.4746367342755717e-08,1.9786064477544348e-08,9.89760357575088e-11,0.0,56.247403621673584,502.30859375,5.714537731904556e-10,7.49204589349435e-12,3.232063576430795e-11,1.0732066277330254e-09,8.277175968015138e-12,4.8085033990485453e-11,5.773779232498555e-10,7.385297209802366e-12,2.983612250722091e-11,0.0,0.0,0.0
26,3,2.1074401522098983e-16,8.735599742965516e-09,1.1594406570176491e-08,5.521446494203705e-11,0.0,58.24983024597168,502.30859375,3.2533331584261305e-10,4.484055783975726e-12,1.909460109122127e-11,5.966676527857651e-10,4.889166319342024e-12,2.8013552217059438e-11,3.275533178026535e-10,4.357855493532446e-12,1.7325207265073177e-11,0.0,0.0,0.0
27,3,7.321243752205421e-17,5.184616431342637e-09,6.806705162664137e-09,3.090000756529865e-11,0.0,60.65825867652893,502.30859375,1.9588419775118382e-10,2.689678975247622e-12,1.1304373472619443e-11,3.637078034579577e-10,2.9003631293884837e-12,1.635695249685418e-11,1.8918050459504343e-10,2.584846678401422e-12,1.0085645913447367e-11,0.0,0.0,0.0
28,3,2.5522112758196317e-17,3.082245245302727e-09,4.002696094201877e-09,1.7348875067049493e-11,0.0,63.43364214897156,502.30859375,1.1584355696925286e-10,1.6150094287042871e-12,6.70495835748388e-12,2.0478138629265175e-10,1.7273021833189168e-12,9.570596609560689e-12,1.0491063573425663e-10,1.533131055127068e-12,5.885140597261264e-12,0.0,0.0,0.0
29,3,8.925112985924401e-18,1.8351427396431153e-09,2.3573859705854606e-09,9.772243673209998e-12,0.0,65.43351793289185,502.30859375,6.669753638277598e-11,9.717297491595895e-13,3.9836420433491926e-12,1.1771627422829667e-10,1.0246315346018287e-12,5.61057485863169e-12,6.298728205678117e-11,9.101739632085679e-13,3.4416386900874903e-12,0.0,0.0,0.0
